source_event_id,occurred_on,case_number,running_number,case_status,title,campaign_family,deficiency_domain_hypothesis,supplier_categories_hypothesis,external_purchase_likelihood,specificity,organisation_number,organisation_name,sector_guess,workplace_cfar,workplace_name,manual_clear_business_problem,manual_external_supplier_needed,manual_supplier_category,manual_notes
2026/013971-7,2026-09-23,2026/013971,7,Pågående,Inspektion inom Ett tryggt arbetsliv Fall kopplat till arbetsutrustning/ställningar/hissar,Fall kopplat till arbetsutrustning/ställningar/hissar,"Fall protection on equipment, scaffolding, lifts",Fall protection equipment; scaffolding contractors/inspection; lift inspection; training,HIGH,high,5569057788,EL KOMPETENS I JÄMTLAND AB,Construction / civil / installation,52898608,EL KOMPETENS I JÄMTLAND AB,,,,
2026/029253-3,2026-09-23,2026/029253,3,Pågående,Inspektion inom Ett hälsosamt arbetsliv arbetsanpassning,Ett hälsosamt arbetsliv – arbetsanpassning,Work adaptation and rehabilitation routines,Mostly internal; occupational health service,LOW,low,5591071583,PROSERVITIO AB,Unclassified (name gives no hint),58448440,PROSERVITIO AB,,,,
2026/033229-8,2026-09-23,2026/033229,8,Pågående,Inspektion inom Ett säkert arbetsliv - Kvarts och kemi inom markarbete och industri,Kvarts och kemi inom markarbete och industri,"Silica dust and chemical exposure: exposure assessment, dust control, PPE, medical checks",Occupational hygiene measurement; ventilation/dust extraction; respiratory PPE; occupational health (medical checks),HIGH,high,5594889536,III SOLUTIONS AB,Manufacturing / industry,71731400,III SOLUTIONS AB,,,,
2026/038642-11,2026-09-23,2026/038642,11,Pågående,Olycka 20260604 Fysiskt våld,Olycka-triggered inspection: Fysiskt våld,Violence at work (olycka on 2026-06-04),Security consulting; personal alarms; conflict-management training,MEDIUM,high,2120002783,KIRUNA KOMMUN,Public sector,52362514,MYSINGE ÄLDREBOENDE,,,,
2026/041079-6,2026-09-23,2026/041079,6,Pågående,Inspektion inom Fortlöpande tillsyn SAM i mindre företag,Fortlöpande tillsyn SAM i mindre företag,"Systematic work environment management in small companies: routines, risk assessment, documentation",SAM consulting; digital SAM tools; occupational health service subscription,MEDIUM,low,5564893914,AKLERO EKONOMI AB,Unclassified (name gives no hint),32539355,AKLERO EKONOMI AB,,,,
2026/041693-8,2026-09-23,2026/041693,8,Pågående,Olycka 20260610 Person föll,Olycka-triggered inspection: Person föll,Fall of person (olycka on 2026-06-10),Fall protection; access equipment; training,HIGH,high,5561320341,STRÖMSNÄS FRAKT & LAGER AB,Transport / logistics,10948248,STRÖMSNÄS FRAKT & LAGER AB,,,,
2026/042686-5,2026-09-23,2026/042686,5,Pågående,Inspektion inom Ett hälsosamt arbetsliv arbetsanpassning,Ett hälsosamt arbetsliv – arbetsanpassning,Work adaptation and rehabilitation routines,Mostly internal; occupational health service,LOW,low,5566618749,MR RÖR I STORSTOCKHOLM AKTIEBOLAG,Unclassified (name gives no hint),42725739,MR RÖR I STORSTOCKHOLM AKTIEBOLAG,,,,
2026/043130-4,2026-09-23,2026/043130,4,Pågående,Inspektion inom Ett hälsosamt arbetsliv – Hot och våld i myndighetsutövning,Hot och våld i myndighetsutövning,Threats and violence in public authority work,Security consulting; personal alarms; training (public sector),LOW,medium,2021000225,KRIMINALVÅRDEN,Public sector,19556810,FRIVÅRDEN STOCKHOLM STAD,,,,
2026/043449-6,2026-09-23,2026/043449,6,Pågående,Inspektion inom Belastningsergonomi i arbetslivet,Belastningsergonomi i arbetslivet (ergonomics),"Manual handling and ergonomic risk assessment, lifting aids, workstation design",Ergonomist / occupational health service; lifting aids; adjustable workstations,MEDIUM,medium,2120002262,AVESTA KOMMUN,Public sector,67499442,BALDERSHAGE,,,,
2026/044705-5,2026-09-23,2026/044705,5,Pågående,Inspektion inom Ett hållbart arbetsliv – pilot förskolan 2026,Ett hållbart arbetsliv – pilot förskolan,Organisational and social work environment in preschools,Mostly internal (public sector),LOW,low,5569631533,ACADEMICA FÖRSKOLAN ÖRNBACKEN AB,Care / social services,61710174,ACADEMICA FÖRSKOLAN ÖRNBACKEN AB,,,,
